label,name,sc,sc.abb
GCA_000149955.2_ASM14995v2_protein,Fusarium oxysporum f. sp. lycopersici 4287,oxysporum,FOSC
GCA_000260155.3_FO_CL57_V1_protein,Fusarium oxysporum f. sp. radicis-lycopersici,oxysporum,FOSC
GCA_013364965.1_ASM1336496v1_protein,Fusarium austroamericanum,sambucinum,FSAMSC
GCA_003033665.1_FusCulm_01_protein,Fusarium culmorum,sambucinum,FSAMSC
GCA_000240135.3_ASM24013v3_protein,Fusarium graminearum,sambucinum,FSAMSC
GCA_001292635.1_ASM129263v1_protein,Fusarium langsethiae,sambucinum,FSAMSC
GCA_003012285.1_Fusarium_longipes_NRRL20695_FLONG3_contigs_protein,Fusarium longipes,sambucinum,FSAMSC
GCA_001675295.1_FPOA1.0_protein,Fusarium poae,sambucinum,FSAMSC
GCA_000303195.2_FP7_protein,Fusarium pseudograminearum,sambucinum,FSAMSC
GCA_003012315.1_Fusarium_sporotrichioides_NRRL3299_FSPOR_contigs_protein,Fusarium sporotrichioides,sambucinum,FSAMSC
GCA_900007375.1_ASM90000737v1_protein,Fusarium venenatum,sambucinum,FSAMSC
GCA_003946995.1_NRRL62579.SPAdes_protein,Neocosmospora oligoseptata,Neocosmopora,Neo
GCA_003947015.1_NRRL62590.SPAdes_protein,'Fusarium' sp. AF-6,Neocosmopora,Neo
GCA_003946985.1_NRRL62584.SPAdes_protein,'Fusarium' duplospermum ,Neocosmopora,Neo
GCA_003947045.1_NRRL20438v1_protein,Neocosmospora ambrosia,Neocosmopora,Neo
GCA_003957675.1_FeuwUCR1854v2_protein,Neocosmospora euwallaceae,Neocosmopora,Neo
GCA_003947005.1_NRRL62606.SPAdes_protein,Neocosmospora floridana,Neocosmopora,Neo
GCA_003698175.1_Fus_sp_AF-12_v1.0_protein,Neocosmospora kuroshia,Neocosmopora,Neo
GCA_000151355.1_v2.0_protein,Neocosmospora pisi,Neocosmopora,Neo
GCA_000769215.1_Fave_05001_protein,Fusarium avenaceum,tricinctum,FTSC
GCA_013266195.1_ASM1326619v1_protein,Geejayessia zealandica,Geejayessia,Gee
Ilysp1_GeneCatalog_proteins_20121116,Ilyonectria sp.,outgroup,outgroup
